,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
BRWD1,1,0,0,4,10,4,0,0,17,0,0,7
BTN2A1,0,1,31,3,0,2,0,1,0,1,0,0
BTNL2,0,1,0,0,1,0,0,0,1,0,0,0
C12orf65,0,0,1,0,0,0,0,0,0,0,1,0
C14orf105,0,0,1,0,1,0,0,1,0,0,0,0
C19orf12,0,5,0,2,0,9,2,0,1,2,10,1
C1QTNF5,0,0,1,0,0,2,0,0,0,0,0,0
C1orf168,0,2,0,3,0,2,0,1,0,0,0,0
C21orf2,0,0,2,2,4,3,0,5,0,0,0,0
C2orf71,0,1,0,2,10,6,2,2,63,0,0,0
C3,1,0,0,0,1,5,0,9,1,1,0,5
C3AR1,0,2,0,0,1,6,0,0,0,0,0,0
C5orf42,1,1,0,8,6,20,1,3,27,0,1,1
C6,0,0,7,0,2,15,0,4,0,1,0,0
C8B,0,0,7,0,1,12,0,1,6,0,0,3
C9,0,0,1,2,3,9,0,0,1,0,0,0
C9orf72,1,0,0,0,0,0,0,0,0,0,0,0
CABP2,0,0,1,5,0,5,0,0,0,0,0,0
CACNA2D4,2,0,0,2,2,8,3,4,2,0,0,4
CACNB2,0,0,1,1,5,4,5,0,12,0,1,1
CAMP,0,0,15,0,2,5,0,0,0,0,0,4
CAPN3,0,13,0,11,4,2,1,2,6,0,0,0
CARD9,0,0,6,0,1,5,2,0,4,0,3,0
CARS2,0,0,2,1,0,9,1,2,2,0,0,0
CASP5,0,1,0,1,0,1,0,0,0,0,0,0
CASP9,1,0,0,1,2,2,0,0,2,0,0,2
CASQ1,1,0,2,0,6,3,0,1,0,0,0,0
CASQ2,1,0,0,2,6,1,1,1,1,0,0,5
CATSPER2,0,2,0,0,0,2,1,0,7,0,0,0
CATSPER4,1,0,0,0,0,3,0,0,16,0,0,0
CC2D2A,0,1,1,1,5,16,3,3,1,0,0,3
CCDC170,1,0,0,2,2,15,0,1,2,0,0,3
CCDC18,0,0,1,4,6,3,0,8,3,0,0,0
CCDC33,1,0,0,0,1,10,0,0,0,1,0,2
CCDC39,1,0,0,0,1,12,3,4,6,0,1,1
CCDC65,0,0,1,0,2,6,0,0,1,0,0,0
CCDC66,0,2,5,1,6,2,0,0,0,0,0,0
CCDC78,0,0,1,0,3,1,0,3,2,0,0,0
CCDC8,0,4,0,6,2,3,0,1,0,0,0,0
CCKBR,0,1,0,1,0,0,0,0,0,0,0,0
CCNO,0,1,0,1,0,2,1,0,1,0,0,0
CD177,0,0,4,0,7,4,0,0,0,0,0,0
CD1E,0,2,0,0,0,0,0,1,0,0,0,0
CD2AP,2,0,0,0,2,3,3,1,0,0,1,0
CD36,0,3,0,1,1,0,0,0,0,0,0,0
CD3EAP,0,1,1,0,0,6,0,0,0,0,0,2
CD8A,0,0,0,0,0,0,0,0,1,0,1,2
CD96,0,3,0,4,1,0,1,0,0,0,0,1
CDAN1,4,0,0,1,0,19,2,2,27,0,0,1
CDC25C,0,2,0,3,0,0,1,1,10,0,0,0
CDC6,0,1,0,0,0,3,0,0,1,0,0,0
CDH3,2,0,0,2,2,11,1,0,2,0,0,0
CDKN2B-AS1,0,0,1,0,0,0,0,0,0,1,1,82
CECR2,0,3,0,2,7,5,2,0,8,0,0,0
CELSR1,0,0,6,2,7,12,9,6,53,0,5,16
CENPJ,0,1,0,4,1,9,0,4,2,1,0,3
CEP152,1,0,0,1,3,31,1,2,5,0,0,2
CEP164,0,0,1,2,2,19,1,0,1,0,0,0
CEP290,1,1,0,1,7,13,3,2,1,0,0,2
CEP41,1,0,0,0,3,3,1,1,0,8,4,36
CEP63,0,1,0,1,0,2,1,0,1,0,0,0
CES1,0,0,3,1,1,5,2,1,0,0,0,1
CFAP57,0,1,0,2,4,7,2,2,16,1,0,15
CFHR5,0,0,1,3,1,2,0,0,4,0,0,1
CFTR,2,1,4,2,3,22,0,3,12,0,0,0
CGNL1,1,0,0,0,7,16,0,3,3,0,0,0
CHD1L,0,0,5,3,1,5,0,2,1,0,0,3
CHEK1,1,0,0,0,1,0,3,1,0,0,0,0
CHEK2,0,2,2,2,1,3,0,0,0,0,0,0
CHPF2,0,1,0,0,4,28,0,0,6,0,0,0
CHRNA3,0,1,0,2,1,1,0,5,0,0,0,0
CHST6,1,0,0,0,0,1,0,0,3,0,0,0
CILP,0,1,0,2,2,5,1,1,1,0,0,0
CKM,0,0,1,2,0,15,1,1,6,0,0,0
CLCN1,1,1,0,4,2,11,1,3,1,1,0,0
