,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
BBS7,0,1,0,0,0,0,0,1,0,1,0,1
BBS9,1,0,0,2,1,3,1,0,1,0,0,0
BCAT2,0,1,0,1,0,4,0,0,9,0,0,0
BCL9,1,0,0,1,7,7,1,0,3,0,0,0
BCR,34,0,0,16,3,34,1,4,17,1,1,0
BCS1L,2,0,0,2,0,1,0,6,0,0,0,0
BICD1,1,0,0,3,0,3,1,1,0,0,0,1
BLM,0,1,0,3,2,15,0,0,11,0,0,0
BPIFA1,0,1,0,0,0,1,0,0,0,0,0,0
BRAF,1,0,0,0,0,0,0,4,1,0,0,0
BRAT1,0,1,0,4,4,20,2,1,8,0,0,0
BRCA1,1,0,2,1,10,18,3,1,6,3,3,7
BRIP1,0,1,0,2,0,14,0,0,4,0,0,0
BTBD9,1,0,0,0,3,0,0,2,2,0,1,0
BTN1A1,1,0,0,1,0,0,3,0,9,0,0,0
BTN2A1,0,0,18,0,0,1,1,0,0,0,0,0
C14orf105,0,1,0,0,0,0,0,0,0,0,0,0
C19orf12,0,2,0,0,0,11,2,0,2,1,7,6
C1orf168,0,0,2,0,0,1,0,1,0,0,0,0
C2orf71,1,0,0,2,4,8,4,0,47,0,0,0
C3AR1,0,4,0,0,4,3,0,0,0,0,0,0
C5orf42,1,1,0,5,4,21,0,3,30,0,1,3
C6,0,0,6,1,2,7,1,2,0,0,0,0
C7,0,0,1,0,5,8,0,6,3,0,3,2
C8B,0,0,2,0,1,11,0,0,6,0,0,4
C9,1,0,4,1,0,13,0,0,0,0,0,0
C9orf72,1,0,0,0,1,0,0,0,0,0,0,0
CABIN1,0,0,1,5,11,37,3,1,19,0,0,0
CABP2,0,0,4,5,0,15,0,2,0,0,0,0
CAMP,0,0,23,0,2,2,0,0,0,0,0,3
CANT1,1,0,0,0,1,3,1,0,0,0,0,0
CAPN1,1,0,0,0,0,4,1,4,3,0,0,0
