,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
AGGF1,3,0,0,26,35,178,5,13,27,0,0,14
AGMO,0,6,1,15,15,84,3,2,5,0,0,15
AGPAT2,1,0,0,4,10,3,5,17,101,0,3,1
AGRN,3,0,0,90,65,827,72,65,189,7,1,7
AGT,1,0,0,0,18,79,4,8,51,0,0,4
AGTR2,0,11,0,0,62,28,0,4,0,0,0,0
AGXT2,5,0,0,12,8,2,3,2,134,5,4,12
AHI1,0,2,31,27,42,229,30,22,61,19,1,18
AHNAK2,9,17,0,241,443,1560,141,317,1317,0,2,0
AHSG,2,0,0,70,2,3,3,12,145,0,0,3
AIFM3,0,1,0,0,0,2,0,0,0,0,0,1
AIMP1,2,0,0,6,3,3,17,0,2,4,0,5
AIPL1,0,0,0,6,9,178,0,0,208,0,0,0
AIRE,0,3,38,11,24,120,15,77,500,4,7,10
AK2,1,0,0,12,36,71,2,0,258,49,22,521
AK7,3,2,0,30,35,98,0,28,17,0,12,0
AK8,1,0,0,5,23,65,6,30,1,2,7,0
AKAP9,3,1,0,90,58,442,23,30,215,2,1,17
AKR1C3,2,0,1,36,15,34,27,0,5,2,5,3
AKR1C4,2,0,9,9,1,8,0,6,1,0,0,52
AKR7A3,0,0,6,28,13,116,10,11,102,1,0,3
ALDH16A1,3,0,0,38,49,253,24,23,76,2,7,11
ALDH1B1,0,1,5,17,42,59,4,5,314,0,1,0
ALDH6A1,0,2,0,11,16,93,0,2,20,0,0,6
ALDH7A1,0,2,0,6,10,65,8,8,19,0,9,23
ALDOA,0,1,0,8,23,101,6,10,10,3,0,14
ALG10,0,0,2,3,43,4,5,0,0,0,0,0
ALG10B,9,0,3,3,41,146,0,0,0,0,0,1
ALG12,9,0,0,5,34,12,12,8,5,0,1,54
ALG13,0,0,5,7,8,18,4,6,22,2,4,25
ALG14,0,0,0,3,2,54,6,0,3,0,0,0
ALG2,3,0,0,1,13,1,22,3,145,1,36,102
