,HIGH.gnomad_001,HIGH.gnomad_001_01,HIGH.gnomad_01_1,MODERATE.gnomad_001,MODERATE.gnomad_001_01,MODERATE.gnomad_01_1,LOW.gnomad_001,LOW.gnomad_001_01,LOW.gnomad_01_1,MODIFIER.gnomad_001,MODIFIER.gnomad_001_01,MODIFIER.gnomad_01_1
TREM2,3,0,0,5,8,168,26,5,12,0,0,1
TRH,0,32,0,2,0,16,25,3,2,0,0,0
TRHR,0,2,0,3,18,51,10,7,81,0,0,0
TRIB3,0,1,1,6,32,357,18,12,58,0,0,0
TRIM16L,0,0,0,0,0,0,0,0,0,0,0,0
TRIM17,0,2,0,10,15,48,5,8,67,2,4,51
TRIM21,1,0,0,11,2,42,7,12,14,0,4,13
TRIM22,0,0,0,12,4,21,1,0,323,0,0,139
TRIM37,0,5,4,21,7,15,39,24,7,2,6,3
TRIM5,0,2,14,15,3,31,1,3,10,1,0,0
TRIM63,0,4,10,15,7,86,4,5,41,3,9,16
TRIOBP,4,3,17,133,117,555,57,21,205,4,0,3
TRIP11,7,0,6,27,29,161,14,53,144,1,3,21
TRIT1,0,0,9,6,4,1,0,2,0,0,2,0
TRMT1,2,2,0,18,12,89,6,12,357,4,1,2
TRMT10A,1,2,4,1,16,139,7,0,5,0,0,0
TRMT10B,0,0,2,0,0,2,0,0,0,0,0,0
TRMT44,4,8,83,12,29,284,2,12,35,2,0,18
TRMU,2,0,0,7,11,17,4,1,31,0,0,1
TRNT1,3,15,0,1,9,71,4,1,1,0,0,0
TRPA1,2,0,0,39,15,126,20,5,116,3,6,0
TRPC4,2,0,0,30,10,3,23,4,66,0,3,1
TRPC6,1,0,0,25,37,45,3,6,6,0,2,11
TRPM1,6,1,0,38,54,727,51,28,246,4,5,7
TRPM2,8,3,2,50,97,465,40,57,213,2,2,34
TRPM3,0,6,0,30,30,125,17,25,121,2,2,122
TRPM4,1,0,51,32,125,174,37,39,276,6,2,7
TRPM6,0,1,0,44,15,654,22,16,42,21,0,26
TRPM7,2,0,0,32,45,191,16,15,45,4,2,33
TRPS1,2,0,0,13,35,53,13,17,54,2,0,0
TRPV1,0,0,1,27,32,99,41,25,13,2,0,0
TRPV3,2,13,0,15,13,52,33,42,108,2,3,26
TRPV4,4,0,11,34,12,294,20,19,84,0,0,19
TRRAP,1,0,0,74,88,9,112,170,180,4,6,66
TSEN2,3,0,0,5,10,11,3,0,41,0,2,0
TSHB,0,2,0,0,1,0,4,0,0,0,0,0
TSNAXIP1,0,0,1,1,0,0,0,0,0,0,0,0
TSPAN17,1,0,0,3,30,1,4,2,7,0,0,2
TSPEAR,4,0,2,20,66,387,6,19,296,0,4,10
TSSC4,0,1,0,6,5,84,9,8,2,0,2,0
TSSK2,0,2,0,10,18,96,13,5,23,0,0,0
TSSK4,12,0,0,1,13,54,1,4,0,0,3,0
TST,1,2,0,4,24,9,8,3,0,1,0,2
TTC19,0,1,0,2,16,35,5,10,70,20,38,120
TTC21B,8,1,0,30,47,251,7,20,53,4,1,17
TTC37,0,0,3,19,33,72,7,6,19,4,13,8
TTF2,2,0,0,45,28,110,7,5,42,0,4,0
TTI2,7,0,0,5,12,65,1,0,0,3,0,3
TTLL1,2,2,0,8,7,4,1,39,9,0,2,0
TTLL11,4,0,0,9,27,29,6,7,9,2,6,21
TTLL5,1,2,0,17,51,254,23,32,59,0,0,1
TTN,30,4,13,860,1394,4302,359,596,1794,92,85,446
TUBB8P12,0,2,0,0,2,5,0,0,2,0,0,0
TUBG1,1,0,0,4,0,4,4,5,18,1,0,0
TUBGCP5,3,3,0,23,16,98,35,7,71,4,1,8
TUBGCP6,4,24,0,63,75,97,164,50,387,0,8,18
TULP1,0,0,3,21,12,62,13,8,13,2,3,2
TULP3,6,3,0,47,25,90,8,5,16,0,2,0
TUSC3,2,6,0,12,17,9,3,7,4,0,1,29
TXLNB,1,0,0,24,35,24,11,2,65,0,0,0
TXNRD2,0,0,2,17,34,13,20,10,175,1,2,1
TYK2,0,1,0,48,38,127,30,44,15,1,7,18
TYMP,6,1,0,10,13,47,5,1,127,1,0,8
TYR,11,3,0,10,250,14,15,16,18,0,0,21
TYRO3,0,0,321,15,20,9,7,17,114,0,0,1
UACA,8,4,0,20,14,47,9,15,72,0,10,0
UBA7,4,0,7,50,24,59,5,19,35,0,0,16
UBB,1,0,0,3,0,0,1,11,17,0,0,0
UBE3B,3,0,0,17,33,40,2,52,163,3,24,13
UBE3C,1,0,0,20,14,144,10,13,69,2,0,35
UBN2,0,3,0,24,21,54,33,14,46,1,5,0
UBR1,2,0,0,20,21,218,11,23,81,19,0,156
UBR7,0,1,0,10,4,2,6,0,7,39,32,88
UCN,1,0,0,1,3,0,0,0,0,0,0,0
UCP2,1,2,0,9,6,7,5,1,1,0,1,0
UCP3,0,1,1,9,0,20,5,6,6,0,0,0
UGGT2,3,2,15,21,101,258,9,17,23,5,2,69
UGT1A10,0,1,3,13,30,84,3,2,13,0,0,0
UGT1A3,0,0,0,6,106,23,1,6,11,0,0,0
UGT1A4,1,2,7,27,102,110,17,35,75,0,4,3
UGT1A5,0,26,0,2,6,48,25,3,34,0,0,0
UGT1A7,0,0,4,28,6,4,4,0,23,0,0,0
UGT1A9,1,0,0,7,14,10,9,0,81,0,0,0
UGT2A1,0,6,3,9,6,203,3,2,94,126,1,23
UGT2A3,1,0,0,4,1,19,8,8,8,0,0,2
UGT2B10,2,2,0,4,15,48,7,5,20,0,2,34
UGT2B15,0,2,1,8,35,118,2,1,60,1,0,3
UGT2B17,0,0,14,14,3,257,10,52,8,0,0,12
UGT2B28,1,1,1,3,20,193,4,1,166,2,2,4
UGT2B4,0,0,6,1,6,27,0,1,3,0,0,0
UGT2B7,3,0,0,16,16,144,2,12,0,0,0,3
UHRF1BP1,0,6,2,39,24,65,18,35,89,0,0,26
UIMC1,0,1,0,14,21,56,11,10,8,1,2,4
ULK4,0,16,18,40,72,710,17,13,293,2,0,4
UMOD,3,0,0,6,18,12,3,10,10,2,2,3
UNC119,6,0,0,5,4,11,11,5,0,10,1,0
UNC13C,3,0,0,43,17,121,50,9,47,0,6,11
UNC13D,1,1,0,28,46,422,32,39,108,3,6,4
UNC5CL,1,1,9,7,3,79,10,5,18,0,0,10
UNC80,1,0,0,69,53,372,16,123,419,1,11,57
UNC93A,3,0,10,29,48,69,10,9,66,0,0,2
UNC93B1,8,0,0,10,5,20,12,19,263,2,1,161
UNG,2,0,0,3,0,49,3,0,34,0,0,0
UNKL,1,0,0,67,101,115,12,14,89,4,11,134
UPB1,2,0,91,5,15,10,4,24,152,0,6,66
UPK3A,0,3,0,78,52,42,9,2,11,0,0,1
UQCRC2,1,0,0,10,14,2,2,2,9,0,0,1
UQCRQ,1,0,1,0,4,1,0,0,63,0,1,0
UROD,2,0,0,1,115,1,4,56,1,0,4,2
UROS,7,0,0,1,5,2,4,22,109,0,1,11
USH1C,5,0,5,13,26,70,4,13,81,0,5,76
USH2A,5,26,0,141,147,647,26,109,368,13,3,29
USP1,1,0,0,7,22,16,4,8,30,0,0,0
USP50,0,1,0,0,1,0,0,0,0,0,0,0
USP53,2,0,0,14,21,104,10,21,18,0,0,0
USP54,1,2,6,13,16,616,18,15,80,0,1,0
USP8,0,2,0,12,15,7,4,2,90,0,0,0
UST,0,1,0,12,8,79,0,6,31,0,0,0
UTP14C,2,0,62,18,2,112,5,0,14,5,0,0
UTRN,2,0,2,69,155,392,53,55,97,3,8,23
UVSSA,0,18,0,24,89,71,4,70,90,4,1,60
VAMP1,2,0,0,0,0,0,1,1,0,0,0,138
VARS2,2,0,0,16,24,5,2,12,30,0,6,0
VAV3,2,0,0,3,9,59,2,6,61,1,9,0
VCP,1,0,0,10,0,2,9,1,54,3,2,24
VCX,1,0,0,0,1,1,0,0,0,0,0,8
VEGFA,0,3,0,22,5,6,1,6,4,0,0,50
VEGFC,2,0,0,5,5,0,6,4,9,2,0,0
VEZF1,1,0,0,0,0,0,0,0,0,0,0,1
VHL,0,3,0,6,15,2,0,17,23,0,0,0
VIL1,1,0,0,14,45,93,15,10,28,1,0,0
VIPAS39,4,2,0,19,17,25,2,10,5,2,6,103
VLDLR,1,0,0,17,17,147,10,9,20,0,0,6
VNN1,4,0,0,11,53,498,2,17,20,0,0,0
VPS13A,3,1,1,69,27,125,56,47,323,2,4,64
VPS13B,16,0,7,69,142,608,32,34,89,9,2,24
VPS33B,1,0,0,12,7,125,7,0,3,1,8,2
VPS45,2,0,0,19,5,7,6,2,7,9,1,7
VPS53,0,2,0,16,24,4,17,9,5,0,2,3
VSIG1,0,4,0,9,4,53,1,9,162,0,0,0
VSIG4,5,0,0,41,10,423,5,14,27,3,0,1
VSTM2B,0,2,0,0,0,0,0,0,0,0,0,0
VSX1,0,3,3,9,4,299,7,14,34,12,18,49
VSX2,0,2,0,7,61,1,7,3,16,0,1,1
VWA3B,5,0,3,55,61,78,3,57,14,2,0,0
VWF,1,16,0,81,103,407,47,143,218,4,2,19
WASF3,0,2,0,9,7,256,7,4,198,0,0,0
WASHC5,1,0,0,20,6,65,14,11,91,0,9,5
WDFY4,1,0,0,61,140,421,15,96,244,3,6,38
WDPCP,2,0,0,9,31,151,7,15,13,0,0,4
WDR11,5,0,0,8,51,98,5,17,108,3,3,16
WDR19,17,0,0,28,53,100,6,29,72,39,2,10
WDR27,4,1,13,21,40,164,23,13,78,0,2,1
WDR31,0,0,1,3,0,25,8,1,135,0,0,1
WDR34,15,0,0,9,21,139,14,23,42,0,4,0
WDR35,0,58,0,10,64,122,4,1,22,3,1,61
WDR36,9,0,0,27,54,256,15,5,44,9,2,69
WDR4,3,0,0,14,24,23,4,6,172,2,7,6
WDR60,1,0,0,33,21,72,14,56,53,0,0,0
WDR62,8,0,0,53,117,148,15,21,154,4,13,3
WDR66,0,23,12,25,27,355,13,4,47,0,0,2
WDR72,2,17,0,16,31,12,6,7,37,0,1,8
WDR73,0,0,32,12,15,4,0,15,23,0,0,0
WDR81,0,6,0,69,46,53,48,60,111,1,0,1
WDR93,2,3,16,6,3,0,5,14,10,0,0,1
WFS1,2,4,0,48,73,181,41,88,50,2,0,0
WNK1,0,0,1,62,60,110,19,35,140,22,27,35
WNK4,3,26,0,41,41,134,12,7,16,0,0,5
WNT10A,0,0,12,15,66,29,1,10,32,0,0,0
WNT10B,1,0,0,9,8,87,2,1,24,0,0,0
WNT16,1,0,0,14,8,35,5,3,0,0,0,0
WRAP53,0,2,2,13,15,15,7,15,128,0,0,1
WRN,4,4,0,48,23,267,18,43,108,2,3,24
WWC1,0,1,0,43,54,34,49,27,436,0,3,12
WWC2,3,1,0,7,33,78,9,17,49,7,0,0
WWC3,1,0,0,11,26,288,5,20,58,1,24,6
WWOX,2,0,0,47,11,42,3,9,93,1,4,34
XDH,7,7,0,56,49,139,44,20,498,3,3,9
XIRP1,12,0,1,33,40,358,19,36,5,0,1,0
XPA,2,5,6,22,6,2,14,8,0,10,7,9
XPC,4,4,0,16,26,9,25,17,45,11,46,27
XPNPEP2,4,0,0,1,6,175,13,2,67,0,2,14
XPNPEP3,3,0,0,16,5,22,10,0,16,2,0,0
XRCC1,2,1,0,21,30,50,6,8,316,0,0,10
XRCC2,0,11,0,1,5,1,0,0,0,0,2,0
XRCC4,0,58,0,3,20,127,0,8,1,0,2,1
XYLT2,1,0,0,9,26,182,5,50,17,0,0,0
YAP1,0,0,1,4,4,1,3,1,136,0,2,1
YARS2,0,0,8,12,5,3,2,2,12,0,0,8
ZAN,5,3,187,55,164,335,42,35,74,0,13,54
ZBTB24,4,5,0,12,4,87,3,8,4,1,0,0
ZBTB40,0,13,0,16,20,28,20,12,15,0,2,2
ZCCHC13,0,0,2,3,0,0,0,0,0,0,0,0
ZCCHC16,2,0,0,20,2,4,0,0,10,0,0,0
ZDHHC24,1,0,0,0,0,0,2,0,0,0,0,0
ZFAT,1,0,0,40,61,76,20,50,85,0,3,28
ZFHX4,1,0,0,68,103,157,48,64,48,0,1,4
ZFP36L2,3,0,0,4,4,8,4,3,169,0,0,0
ZFP69,0,0,10,1,19,274,2,8,276,0,0,0
ZFYVE27,0,4,0,7,1,141,10,28,0,1,2,4
ZIC2,0,0,2,1,3,0,5,5,0,0,0,0
ZMPSTE24,0,1,0,8,3,4,2,2,14,4,0,13
ZMYM2,2,0,0,23,39,170,10,24,24,0,1,0
ZMYM3,1,0,0,21,1,3,23,35,71,0,0,0
ZMYM6,2,0,0,10,12,87,0,30,7,0,0,30
ZNF141,14,0,0,113,409,203,135,0,43,9,74,0
ZNF175,0,0,6,10,18,6,4,3,12,0,0,0
ZNF211,0,0,1,0,0,0,0,0,0,0,0,1
ZNF224,0,1,0,25,9,13,2,19,6,0,0,3
ZNF229,0,0,2,0,0,0,0,0,0,0,0,0
ZNF292,0,6,0,41,148,86,15,40,310,0,2,3
ZNF311,0,1,0,1,11,49,1,6,50,0,0,0
ZNF324B,0,1,0,0,1,0,0,0,1,0,0,0
ZNF337,0,1,0,0,0,0,0,0,0,0,0,0
ZNF347,1,2,0,21,50,49,5,0,8,0,0,0
ZNF350,0,0,4,2,8,59,2,2,97,0,0,0
ZNF365,0,5,0,41,6,3,15,8,1,0,0,0
ZNF419,2,0,0,41,36,9,0,40,29,2,0,2
ZNF433,0,3,9,51,21,31,11,3,17,0,0,1
ZNF44,0,0,2,12,24,45,0,0,33,0,0,0
ZNF443,4,0,0,0,0,0,0,0,0,0,0,0
ZNF45,1,0,0,8,52,56,0,2,59,0,0,0
ZNF451,1,1,0,0,13,52,7,1,10,15,2,57
ZNF469,1,1,24,88,254,1199,71,142,343,0,0,0
ZNF480,8,0,0,104,3,120,2,11,13,0,0,0
ZNF507,2,2,0,41,20,38,44,6,28,0,1,1
ZNF513,1,0,0,10,8,253,12,54,5,1,0,1
ZNF517,0,1,0,20,10,41,1,7,20,1,0,0
ZNF585B,0,0,1,0,0,0,0,0,1,0,0,0
ZNF599,4,3,2,10,22,121,4,13,14,0,2,0
ZNF627,1,2,0,10,11,13,6,2,55,10,38,0
ZNF638,2,0,0,39,46,232,40,10,22,0,7,71
ZNF658,0,1,0,0,0,0,0,0,0,0,0,0
ZNF674,0,0,112,0,7,4,5,4,1,0,26,0
ZNF676,0,0,2,0,0,0,0,0,0,0,2,0
ZNF677,0,0,2,0,0,0,0,0,0,0,0,0
ZNF711,0,0,1,6,0,0,7,4,14,0,3,0
ZNF713,0,0,30,2,1,0,0,8,6,0,0,0
ZNF716,0,0,1,0,0,0,0,0,0,0,0,0
ZNF75D,0,4,0,12,4,2,0,1,5,0,0,0
ZNF77,2,3,1,24,35,95,5,0,42,0,0,0
ZNF778,0,2,2,24,67,52,15,11,233,0,1,0
ZNF780B,0,4,2,26,57,63,0,3,343,0,0,1
ZNF783,8,0,0,11,6,25,3,21,412,0,0,0
ZNF79,2,0,0,9,6,6,3,29,19,2,0,0
ZNF80,1,0,0,9,1,6,8,6,30,0,0,0
ZNF804A,2,0,0,15,53,123,2,14,351,0,0,0
ZNF81,0,2,0,8,4,168,4,0,3,4,0,0
ZNF813,0,9,0,6,20,47,2,26,165,4,0,0
ZNF835,0,0,1,0,0,0,0,0,0,0,0,0
ZNF843,2,0,0,0,0,1,0,0,0,0,0,0
ZNF852,1,0,0,0,0,0,0,0,0,0,0,0
ZNF883,1,0,0,0,0,0,0,0,0,0,0,0
ZNHIT6,0,2,0,10,8,99,0,41,36,0,0,10
ZPBP2,1,0,0,7,23,52,17,4,115,0,1,0
ZSWIM6,0,1,0,8,7,124,10,9,104,0,0,0
A1BG,0,0,0,0,0,2,1,0,1,0,0,3
A1CF,0,0,0,0,0,0,0,0,3,0,0,0
A2M,0,0,0,36,14,130,9,22,55,0,14,50
A4GALT,0,0,0,8,63,5,6,7,4,0,0,0
AAAS,0,0,0,8,13,44,0,0,3,4,2,3
AADACL3,0,0,0,0,0,0,1,0,0,1,0,0
AADACL4,0,0,0,0,0,0,0,0,2,0,0,0
AAGAB,0,0,0,17,2,287,3,0,22,0,0,0
AANAT,0,0,0,7,3,7,0,5,37,3,0,4
AARD,0,0,0,0,0,0,0,1,0,0,0,0
AASDH,0,0,0,0,0,0,2,0,0,0,0,0
AASS,0,0,0,11,11,413,10,6,75,0,5,4
AATF,0,0,0,0,0,0,0,0,1,0,0,0
AATK,0,0,0,0,0,1,0,0,7,2,0,0
ABAT,0,0,0,4,13,225,12,15,61,2,1,0
ABCA2,0,0,0,84,63,415,87,123,223,6,35,28
ABCA3,0,0,0,34,48,792,35,85,67,9,3,46
ABCA6,0,0,0,2,0,0,1,0,4,0,1,0
ABCA8,0,0,0,0,0,2,0,0,1,0,0,3
ABCA9,0,0,0,0,0,0,0,0,4,0,0,0
ABCB1,0,0,0,19,82,10,10,45,129,5,8,9
ABCB7,0,0,0,2,95,112,4,0,1,4,1,0
ABCC9,0,0,0,12,5,6,4,9,181,12,6,2
ABCD3,0,0,0,5,3,0,6,76,149,2,1,2
ABCG1,0,0,0,8,10,31,8,9,146,1,4,7
ABCG4,0,0,0,0,0,0,0,0,1,0,0,0
ABHD12,0,0,0,30,5,24,5,1,48,0,0,0
ABHD17A,0,0,0,0,0,0,1,0,0,0,0,0
ABHD18,0,0,0,0,0,0,0,0,1,0,0,0
ABHD2,0,0,0,0,0,0,0,0,2,1,0,0
ABHD5,0,0,0,1,0,4,5,1,14,0,0,0
ABI3BP,0,0,0,8,38,116,14,4,47,5,91,148
ABL1,0,0,0,18,77,164,25,11,90,1,0,1
ABLIM2,0,0,0,0,0,0,0,2,2,0,0,2
ACAA2,0,0,0,1,0,0,0,0,1,0,0,0
ACACA,0,0,0,43,47,31,18,20,569,12,4,12
ACAD8,0,0,0,10,40,13,3,10,259,0,1,21
ACADS,0,0,0,6,3,3,8,5,22,0,3,6
ACADVL,0,0,0,15,86,14,6,8,70,8,0,7
ACAP1,0,0,0,0,0,0,0,1,0,0,0,0
ACAP2,0,0,0,0,0,0,1,0,0,0,0,0
ACBD3,0,0,0,0,0,1,0,0,1,0,0,0
ACBD5,0,0,0,21,4,3,17,5,0,17,36,273
ACBD6,0,0,0,1,2,1,0,3,2,4,2,0
ACCS,0,0,0,7,57,27,3,49,22,0,0,14
ACHE,0,0,0,7,4,27,5,10,8,1,0,143
ACIN1,0,0,0,0,2,0,0,0,1,1,0,0
ACKR2,0,0,0,0,0,0,2,0,0,0,0,0
ACKR3,0,0,0,5,7,48,3,16,0,1,0,0
ACLY,0,0,0,37,3,223,30,15,14,3,1,10
ACMSD,0,0,0,31,4,0,8,7,0,0,0,0
ACO2,0,0,0,13,19,134,11,16,28,8,0,11
ACOT11,0,0,0,0,0,2,0,0,1,0,2,3
ACOX1,0,0,0,3,3,16,36,5,210,0,3,5
ACOX2,0,0,0,0,0,0,0,0,2,0,0,1
ACR,0,0,0,26,31,4,7,4,6,0,0,0
ACSL1,0,0,0,0,0,0,0,0,2,0,0,0
ACSL4,0,0,0,0,4,6,0,28,19,2,0,0
ACSL5,0,0,0,15,7,18,0,0,21,0,0,12
ACSL6,0,0,0,7,3,19,7,17,84,0,1,0
ACSM5,0,0,0,0,0,0,1,0,0,0,3,2
ACSS1,0,0,0,2,0,0,0,0,4,0,2,4
ACTA1,0,0,0,2,0,0,2,10,4,0,0,2
ACTA2,0,0,0,0,0,0,4,1,0,0,2,122
ACTB,0,0,0,0,0,0,32,32,73,1,2,1
ACTC1,0,0,0,1,3,0,2,0,0,0,0,4
ACTG1,0,0,0,5,0,0,28,42,417,12,76,292
ACTG2,0,0,0,2,1,0,1,1,38,0,0,1
ACTN1,0,0,0,8,16,1,1,45,121,2,0,7
ACTN2,0,0,0,23,40,4,7,53,42,3,2,21
ACTN4,0,0,0,22,57,131,19,37,192,0,5,31
ACTR1B,0,0,0,0,0,0,0,0,1,0,0,0
ACTR3C,0,0,0,7,10,26,1,0,46,0,0,0
ACTR5,0,0,0,0,0,0,0,0,2,0,0,0
ACTR8,0,0,0,0,0,0,0,0,0,0,0,0
ACTRT2,0,0,0,0,0,3,1,0,0,0,0,0
ACVR1,0,0,0,3,2,0,7,6,25,0,0,0
ACVR1B,0,0,0,2,10,0,3,4,185,1,0,6
ACVR2A,0,0,0,0,2,6,2,0,0,0,2,0
ACVR2B,0,0,0,13,4,2,15,17,6,0,6,3
ACVRL1,0,0,0,9,9,75,3,13,68,1,0,16
ADA,0,0,0,8,0,1,33,5,151,13,2,25
ADAD2,0,0,0,0,1,0,0,0,2,2,0,0
ADAM10,0,0,0,5,5,5,4,0,2,1,4,8
ADAM11,0,0,0,0,0,0,0,0,1,0,0,0
ADAM15,0,0,0,0,0,0,0,0,1,0,0,0
ADAM19,0,0,0,18,17,162,14,19,218,0,2,7
ADAM22,0,0,0,6,13,37,5,25,60,0,0,2
ADAM23,0,0,0,11,10,139,9,14,3,2,0,2
ADAM8,0,0,0,0,0,0,1,0,0,0,0,1
ADAM9,0,0,0,20,7,33,0,12,3,13,9,68
ADAMDEC1,0,0,0,0,0,0,0,0,1,0,1,0
ADAMTS14,0,0,0,0,0,0,0,0,1,0,0,2
ADAMTS19,0,0,0,28,41,52,11,11,11,0,0,2
ADAMTS20,0,0,0,0,0,2,0,0,0,0,2,0
ADAMTS7,0,0,0,0,0,3,0,0,2,0,0,0
ADAMTS9,0,0,0,0,0,0,0,0,3,0,1,1
ADAMTSL1,0,0,0,0,0,1,0,0,2,0,0,2
ADAMTSL2,0,0,0,208,31,33,8,16,56,0,10,1
ADAMTSL3,0,0,0,12,42,390,15,36,92,0,0,36
ADAP1,0,0,0,0,0,0,0,1,0,0,0,0
ADAR,0,0,0,26,9,48,4,12,78,2,8,5
ADARB2,0,0,0,0,0,2,2,1,0,2,0,2
ADAT1,0,0,0,0,0,0,0,0,3,2,0,0
ADCK1,0,0,0,0,0,2,0,0,1,0,0,0
ADCK2,0,0,0,2,0,0,0,0,2,1,0,1
ADCK5,0,0,0,0,0,1,0,0,1,0,0,0
ADCY1,0,0,0,38,12,0,7,16,9,0,0,0
ADCY3,0,0,0,14,40,111,15,24,256,2,1,4
ADCY4,0,0,0,0,0,2,1,0,2,0,0,0
ADCY5,0,0,0,10,21,600,4,40,167,8,5,7
ADCY7,0,0,0,0,0,2,1,0,0,0,1,0
ADCY8,0,0,0,1,1,0,0,3,0,0,0,0
ADCY9,0,0,0,15,39,170,9,37,137,2,9,14
ADCYAP1,0,0,0,1,4,0,5,9,12,0,0,0
ADD2,0,0,0,6,16,47,10,10,21,0,0,88
ADGRA1,0,0,0,0,0,0,0,0,1,0,0,2
ADGRB1,0,0,0,0,0,1,2,0,0,0,0,4
ADGRF4,0,0,0,0,0,0,0,0,1,0,0,0
ADGRF5,0,0,0,0,0,0,0,0,1,0,0,1
ADGRG6,0,0,0,1,0,0,0,0,0,0,0,4
ADGRL2,0,0,0,0,0,5,0,3,0,0,0,0
ADGRL3,0,0,0,0,0,1,0,0,2,0,0,0
ADH1B,0,0,0,7,16,86,5,14,17,0,2,4
ADH1C,0,0,0,7,8,0,3,4,210,1,0,23
ADIPOR1,0,0,0,1,3,0,2,7,0,0,0,2
ADK,0,0,0,0,4,1,2,7,0,0,2,6
ADM,0,0,0,1,0,0,0,1,5,0,0,0
ADM5,0,0,0,0,0,0,0,0,3,0,0,0
ADORA1,0,0,0,8,2,10,2,26,0,0,0,0
ADORA2A,0,0,0,9,21,0,6,1,89,0,0,0
ADPRHL1,0,0,0,0,0,0,0,0,4,0,0,0
ADRA1B,0,0,0,0,0,0,0,0,2,0,0,0
ADRA2A,0,0,0,8,1,36,13,13,2,0,0,0
ADRA2B,0,0,0,13,17,31,4,77,0,0,0,0
ADRA2C,0,0,0,5,0,0,0,36,5,0,0,0
ADRB2,0,0,0,1,8,36,1,3,2,0,0,3
ADRB3,0,0,0,9,41,41,5,16,40,0,0,0
ADRM1,0,0,0,0,0,0,1,0,1,2,0,0
ADSL,0,0,0,11,3,0,5,0,14,0,1,5
ADTRP,0,0,0,0,3,0,1,17,18,0,0,3
AFAP1,0,0,0,0,0,1,1,2,0,0,0,2
AFAP1L2,0,0,0,0,0,2,0,0,5,0,0,0
AFF1,0,0,0,0,0,0,1,0,0,0,1,1
AFF2,0,0,0,24,34,84,7,20,65,0,0,0
AFF4,0,0,0,7,8,42,7,6,19,1,1,0
AFM,0,0,0,0,0,0,0,0,1,0,0,0
AFP,0,0,0,6,34,1,2,27,20,0,0,3
AFTPH,0,0,0,0,0,0,0,1,0,0,0,0
AGA,0,0,0,6,3,42,14,2,59,7,33,42
AGAP1,0,0,0,0,0,0,0,0,4,0,0,7
AGAP2,0,0,0,0,0,1,0,0,2,0,0,0
AGAP6,0,0,0,0,0,1,0,0,1,0,1,0
AGK,0,0,0,8,19,3,10,24,8,0,0,0
AGL,0,0,0,17,32,101,21,13,141,2,4,10
AGMAT,0,0,0,0,0,0,1,0,0,0,0,0
AGO1,0,0,0,11,0,2,6,1,40,2,1,3
AGO2,0,0,0,4,2,5,23,23,59,21,0,19
AGPAT3,0,0,0,0,0,0,0,1,2,0,0,0
AGPAT4,0,0,0,0,0,0,1,0,3,0,0,4
AGPS,0,0,0,2,2,7,2,0,21,1,0,1
AGRP,0,0,0,5,4,0,2,1,17,0,0,0
AGTPBP1,0,0,0,11,39,57,6,15,8,0,0,0
AGTR1,0,0,0,20,1,0,4,18,2,0,1,3
AGXT,0,0,0,46,26,42,6,14,5,0,1,1
AHCTF1,0,0,0,0,0,0,0,0,1,0,0,0
AHCY,0,0,0,2,19,60,7,2,180,0,3,0
AHDC1,0,0,0,36,51,204,12,20,111,0,0,0
AHNAK,0,0,0,0,3,2,1,0,1,0,0,0
AHR,0,0,0,10,30,75,10,7,2,3,2,5
AHSP,0,0,0,1,4,196,0,0,6,4,0,0
AICDA,0,0,0,0,1,0,1,0,49,0,1,2
AIF1,0,0,0,0,0,4,1,0,1,0,0,0
AIFM1,0,0,0,9,6,0,0,5,27,0,0,0
AIM1,0,0,0,0,1,3,0,1,2,0,0,0
AIM1L,0,0,0,0,0,8,0,0,1,1,0,0
AIP,0,0,0,30,3,140,4,9,8,1,2,2
AIPL1,0,0,0,3,9,175,0,0,200,0,0,1
AK1,0,0,0,4,18,0,6,3,5,0,1,3
AK5,0,0,0,0,0,0,0,0,1,0,0,0
AK9,0,0,0,0,0,1,0,0,1,0,0,2
AKAP1,0,0,0,9,11,80,4,12,86,1,0,47
AKAP10,0,0,0,16,3,1,17,6,0,2,0,4
AKAP11,0,0,0,0,0,1,1,0,1,0,0,0
AKAP12,0,0,0,0,0,2,0,0,1,0,0,0
AKAP6,0,0,0,0,2,0,0,3,3,0,0,1
AKAP7,0,0,0,0,0,0,0,2,0,0,2,0
AKIRIN2,0,0,0,0,0,0,0,0,1,0,0,2
AKNA,0,0,0,0,0,0,0,0,1,0,0,0
AKNAD1,0,0,0,0,0,0,0,0,1,0,1,0
AKR1B1,0,0,0,3,69,14,3,4,34,3,5,5
AKT1,0,0,0,52,5,1,5,10,63,2,6,3
AKT2,0,0,0,10,6,2,14,57,20,2,1,158
AKT3,0,0,0,1,0,2,0,19,0,0,15,2
ALAD,0,0,0,3,5,3,2,18,43,0,9,4
ALAS1,0,0,0,0,0,0,0,0,1,0,0,0
ALAS2,0,0,0,3,25,88,1,7,4,1,2,39
ALB,0,0,0,4,4,5,14,35,78,0,7,0
ALCAM,0,0,0,6,0,14,7,7,230,0,2,2
ALDH18A1,0,0,0,10,16,6,0,65,108,3,5,0
ALDH1A1,0,0,0,9,39,2,2,32,36,1,4,0
ALDH1A2,0,0,0,7,11,8,13,11,54,1,6,12
ALDH1A3,0,0,0,1,3,3,7,16,23,0,0,2
ALDH1L1,0,0,0,0,0,0,0,0,2,0,0,2
ALDH2,0,0,0,5,1,87,3,30,5,0,0,14
ALDH3A1,0,0,0,0,0,0,0,0,2,0,0,0
